Year;GDP_per_capita_2015_constant_$;CO2_emissions_from_fossil_fuels_and_cement production(thousand metric tons of C);Emissions_from_solid_fuel_consumption;Emissions_from_liquid_fuel_consumption;Emissions_from_gas_fuel_consumption;Emissions from cement production;CO2_emission_per_capita (metric tons of carbon);renewable_twh;Population growth (annual %)
1970;3274;11628;4771;5990;0;867;0.33;9497862;2,331
1971;3378;13017;4831;7160;0;1026;0.36;8235471;2,278
1972;3549;14687;5159;8383;0;1146;0.4;10033421;2,251
1973;3583;16222;5252;9753;0;1217;0.43;832709;2,234
1974;3703;16672;5443;10014;0;1215;0.43;10583851;2,172
1975;3887;17916;5732;10730;0;1454;0.46;18159168;2,063
1976;4206;20104;6448;11977;0;1679;0.5;2527814;2,064
1977;4256;22245;6533;13831;0;1881;0.54;260441;2,160
1978;4228;21068;5573;13397;11;2087;0.5;28040234;2,166
1979;4114;20610;6830;11905;1;1874;0.48;30887035;2,094
1980;3931;20661;6603;12295;12;1751;0.47;33990643;2,066
1981;4041;21782;7435;12293;8;2046;0.48;37656815;2,004
1982;4096;23722;8500;13055;20;2146;0.52;41890778;2,129
1983;4202;24691;9457;13382;4;1849;0.52;3354024;2,315
1984;4383;26124;10598;13367;20;2140;0.54;39764133;2,271
1985;4469;29102;12773;13904;34;2391;0.59;35633663;2,197
1986;4683;31874;14254;14669;231;2720;0.64;35230865;2,109
1987;5025;35426;15145;16917;376;2989;0.69;55216923;2,022
1988;5040;34445;14663;16069;629;3084;0.66;8579774;1,981
1989;4957;37992;16027;17235;1494;3236;0.72;5322483;1,949
1990;5315;39357;17964;16726;1783;2876;0.73;6867449;1,893
1991;5257;40421;18792;16155;2179;3288;0.74;6742754;1,818
1992;5425;41478;18257;17211;2383;3619;0.74;78909134;1,757
1993;5739;42690;16968;19510;2648;3542;0.75;10079267;1,75
1994;5376;42437;17013;18893;2824;3675;0.74;9082911;1,754
1995;5702;46237;17658;21078;3614;3847;0.79;10604771;1,692
1996;6023;50490;20025;22114;4364;3955;0.85;12048213;1,652
1997;6375;53316;22345;21634;5210;4076;0.88;11890923;1,618
1998;6427;53652;23282;20586;5587;4139;0.87;12589747;1,562
1999;6125;52972;21298;21023;6615;3971;0.85;10325572;1,504
2000;6455;58184;23784;22328;7893;4111;0.92;921503;1,457
2001;5994;53044;19880;20728;8352;4082;0.83;7155927;1,483
2002;6292;55850;20732;21723;9203;4189;0.86;99165504;1,398
2003;6567;59141;22451;21302;11068;4319;0.89;103136765;1,322
2004;7112;60852;23417;21094;11685;4655;0.91;13346378;1,363
2005;7648;64084;23885;20796;14235;5166;0.94;113814926;1,347
2006;8074;70502;27957;20703;16222;5619;1.03;1269205;1,296
2007;8414;77060;31074;20852;19002;6131;1.11;10324635;0,796
2008;8376;77134;31261;20327;18858;6687;1.1;96938156;1,265
2009;7863;76365;32577;18564;18061;7162;1.07;10664592;1,38
2010;8397;80153;33458;19206;19609;7879;1.11;15477829;1,519
2011;9201;87159;35647;20323;22977;8211;1.19;16053874;1,467
2012;9520;88807;36348;20984;23273;8202;1.19;1798401;1,274
2013;10196;87951;34460;21125;23456;8909;1.16;19328049;1,284
2014;10556;93678;37868;21662;25111;9037;1.21;14444221;1,349
2015;11050;94625;36265;24962;24598;8800;1.2;2267223;1,334
2016;11265;101024;40387;27102;23897;9636;1.27;24543417;1,3454
2017;11954;112114;42257;32174;27627;10055;1.38;23665755;1,296